"","site_name","lon","lat"
"1","Aberdeen","-2.094278","57.15736"
"3","Armagh Roadside","-6.654558","54.353728"
"4","Auchencorth Moss","-3.2429","55.79216"
"6","Barnstaple A39","-4.041924","51.074793"
"8","Belfast Centre","-5.928833","54.59965"
"10","Birmingham Acocks Green","-1.829999","52.437165"
"11","Birmingham Centre","-1.908078","52.479724"
"13","Birmingham Tyburn","-1.830583","52.511722"
"15","Birmingham Tyburn Roadside","-1.830861","52.512194"
"17","Blackpool Marton","-3.007175","53.80489"
"19","Bristol St Paul's","-2.584482","51.462839"
"21","Bury Roadside","-2.289611","53.53911"
"23","Bury Whitefield Roadside","-2.293772","53.559029"
"25","Camden Kerbside","-0.175269","51.54421"
"27","Cardiff Centre","-3.17625","51.48178"
"29","Carlisle Roadside","-2.945307","54.894834"
"31","Chatham Roadside","0.54797","51.374264"
"33","Chepstow A48","-2.678731","51.638094"
"35","Chesterfield","-1.433611","53.230583"
"37","Chesterfield Loundsley Green","-1.454946","53.244131"
"39","Chesterfield Roadside","-1.456944","53.231722"
"41","Chilbolton Observatory","-1.438228","51.149617"
"43","Coventry Allesley","-1.560228","52.411563"
"44","Coventry Memorial Park","-1.519612","52.394399"
"46","Derry","-7.329115","55.001225"
"48","Derry Rosemount","-7.331179","55.002818"
"50","Ealing Horn Lane","-0.265617","51.51895"
"51","Eastbourne","0.271611","50.805778"
"53","Edinburgh St Leonards","-3.182186","55.945589"
"55","Glasgow Centre","-4.255161","55.85773"
"57","Glasgow High Street","-4.238214","55.860936"
"59","Glasgow Kerbside","-4.258889","55.85917"
"61","Glasgow Townhead","-4.243631","55.865782"
"63","Grangemouth","-3.704399","56.010319"
"65","Haringey Roadside","-0.068218","51.5993"
"67","Harwell","-1.325283","51.571078"
"69","Hull Freetown","-0.341222","53.74878"
"71","Hull Holderness Road","-0.305749","53.758971"
"72","Leamington Spa","-1.533119","52.28881"
"74","Leamington Spa Rugby Road","-1.542911","52.294884"
"76","Leeds Centre","-1.546472","53.80378"
"78","Leeds Headingley Kerbside","-1.576361","53.819972"
"80","Leicester A594 Roadside","-1.124228","52.638677"
"81","Leicester Centre","-1.133006","52.631348"
"83","Leicester University","-1.127311","52.619823"
"85","Liverpool Speke","-2.844333","53.34633"
"87","London Bexley","0.184806","51.46603"
"88","London Bloomsbury","-0.125889","51.52229"
"90","London Eltham","0.070766","51.45258"
"91","London Harlington","-0.441614","51.48879"
"93","London Harrow Stanmore","-0.298777","51.617333"
"94","London Marylebone Road","-0.154611","51.52253"
"96","London N. Kensington","-0.213492","51.52105"
"98","London Teddington","-0.339647","51.42099"
"99","London Teddington Bushy Park","-0.345606","51.425286"
"100","Lough Navar","-7.900328","54.43951"
"101","Manchester Piccadilly","-2.237881","53.48152"
"103","Middlesbrough","-1.220874","54.569297"
"105","Narberth","-4.691462","51.781784"
"106","Newcastle Centre","-1.610528","54.97825"
"108","Newport","-2.977281","51.601203"
"110","Norwich Lakenfields","1.301976","52.614193"
"112","Nottingham Centre","-1.146447","52.95473"
"114","Nottingham Western Boulevard","-1.188851","52.969377"
"115","Oxford St Ebbes","-1.260278","51.744806"
"117","Plymouth Centre","-4.142361","50.37167"
"119","Port Talbot","-3.76169","51.5798"
"120","Port Talbot Margam","-3.770822","51.58395"
"122","Portsmouth","-1.068583","50.82881"
"124","Preston","-2.680353","53.76559"
"126","Reading New Town","-0.944067","51.45309"
"128","Rochester Stoke","0.634889","51.45617"
"130","Salford Eccles","-2.334139","53.48481"
"132","Saltash Callington Road","-4.227678","50.411463"
"134","Saltash Roadside","-4.2303","50.4131"
"136","Sandy Roadside","-0.300306","52.132417"
"138","Scunthorpe Town","-0.636811","53.58634"
"139","Sheffield Centre","-1.473306","53.37772"
"141","Sheffield Devonshire Green","-1.478096","53.378622"
"143","Southampton A33","-1.463484","50.920265"
"144","Southampton Centre","-1.395778","50.90814"
"146","Southend-on-Sea","0.678408","51.544206"
"148","Southwark A2 Old Kent Road","-0.05955","51.480499"
"149","Stanford-le-Hope Roadside","0.439548","51.518167"
"151","Stockton-on-Tees A1305 Roadside","-1.3159","54.565819"
"152","Stoke-on-Trent A50 Roadside","-2.111898","52.980436"
"153","Stoke-on-Trent Centre","-2.175133","53.02821"
"155","Storrington Roadside","-0.449548","50.916932"
"157","Sunderland Silksworth","-1.406878","54.88361"
"158","Swansea Roadside","-3.947374","51.632696"
"160","Thurrock","0.317969","51.47707"
"161","Warrington","-2.615358","53.38928"
"163","Wigan Centre","-2.638139","53.54914"
"164","Wirral Tranmere","-3.022722","53.37287"
"166","Wolverhampton Centre","-2.129008","52.58818"
"167","York Bootham","-1.086514","53.967513"
"169","York Fishergate","-1.075861","53.951889"
