"","FILE_NAME","UK_AIR_stations","AREA_CODE","DESCRIPTIO"
"1","CUMBRIA_COUNTY",2,"CTY","County"
"2","DERBYSHIRE_COUNTY",2,"CTY","County"
"3","DEVON_COUNTY",2,"CTY","County"
"4","EAST_SUSSEX_COUNTY",2,"CTY","County"
"5","ESSEX_COUNTY",1,"CTY","County"
"6","GREATER_LONDON_AUTHORITY",18,"GLA","Greater London Authority"
"7","HAMPSHIRE_COUNTY",7,"CTY","County"
"8","KENT_COUNTY",1,"CTY","County"
"9","LANCASHIRE_COUNTY",5,"CTY","County"
"10","LEICESTERSHIRE_COUNTY",1,"CTY","County"
"11","NORFOLK_COUNTY",2,"CTY","County"
"12","NORTH_YORKSHIRE_COUNTY",3,"CTY","County"
"13","NOTTINGHAMSHIRE_COUNTY",1,"CTY","County"
"14","OXFORDSHIRE_COUNTY",4,"CTY","County"
"15","STAFFORDSHIRE_COUNTY",1,"CTY","County"
"16","WARWICKSHIRE_COUNTY",3,"CTY","County"
"17","WEST_SUSSEX_COUNTY",4,"CTY","County"
"18",NA,83,NA,NA
