"","FILE_NAME","UK_AIR_stations","AREA_CODE","DESCRIPTIO"
"1","ABERDEEN_CITY",3,"UTA","Unitary Authority"
"2","ABERTAWE_-_SWANSEA",1,"UTA","Unitary Authority"
"3","BEDFORD_(B)",1,"UTA","Unitary Authority"
"4","BIRMINGHAM_DISTRICT_(B)",3,"MTD","Metropolitan District"
"5","BLACKPOOL_(B)",1,"UTA","Unitary Authority"
"6","BRO_MORGANNWG_-_THE_VALE_OF_GLAMORGAN",1,"UTA","Unitary Authority"
"7","BURY_DISTRICT_(B)",1,"MTD","Metropolitan District"
"8","CAERDYDD_-_CARDIFF",1,"UTA","Unitary Authority"
"9","CASNEWYDD_-_NEWPORT",1,"UTA","Unitary Authority"
"10","CASTELL-NEDD_PORT_TALBOT_-_NEATH_PORT_TALBOT",1,"UTA","Unitary Authority"
"11","CENTRAL_BEDFORDSHIRE",1,"UTA","Unitary Authority"
"12","CHESHIRE_EAST_(B)",1,"UTA","Unitary Authority"
"13","CITY_OF_BRISTOL_(B)",1,"UTA","Unitary Authority"
"14","CITY_OF_EDINBURGH",3,"UTA","Unitary Authority"
"15","CITY_OF_KINGSTON_UPON_HULL_(B)",2,"UTA","Unitary Authority"
"16","CITY_OF_LEICESTER_(B)",2,"UTA","Unitary Authority"
"17","CITY_OF_NOTTINGHAM_(B)",2,"UTA","Unitary Authority"
"18","CITY_OF_PLYMOUTH_(B)",2,"UTA","Unitary Authority"
"19","CITY_OF_PORTSMOUTH_(B)",1,"UTA","Unitary Authority"
"20","CITY_OF_SOUTHAMPTON_(B)",1,"UTA","Unitary Authority"
"21","CITY_OF_STOKE-ON-TRENT_(B)",2,"UTA","Unitary Authority"
"22","CORNWALL",1,"UTA","Unitary Authority"
"23","COVENTRY_DISTRICT_(B)",1,"MTD","Metropolitan District"
"24","CUMBRIA_COUNTY",2,"DIS","District"
"25","DARLINGTON_(B)",1,"UTA","Unitary Authority"
"26","DERBYSHIRE_COUNTY",2,"DIS","District"
"27","DEVON_COUNTY",2,"DIS","District"
"28","EAST_RIDING_OF_YORKSHIRE",1,"UTA","Unitary Authority"
"29","EAST_SUSSEX_COUNTY",2,"DIS","District"
"30","ESSEX_COUNTY",1,"DIS","District"
"31","FALKIRK",1,"UTA","Unitary Authority"
"32","GLASGOW_CITY",2,"UTA","Unitary Authority"
"33","GREATER_LONDON_AUTHORITY",18,"LBO","London Borough"
"34","HAMPSHIRE_COUNTY",7,"DIS","District"
"35","KENT_COUNTY",1,"DIS","District"
"36","KIRKLEES_DISTRICT_(B)",1,"MTD","Metropolitan District"
"37","LANCASHIRE_COUNTY",5,"DIS","District"
"38","LEEDS_DISTRICT_(B)",3,"MTD","Metropolitan District"
"39","LEICESTERSHIRE_COUNTY",1,"DIS","District"
"40","LIVERPOOL_DISTRICT_(B)",2,"MTD","Metropolitan District"
"41","MANCHESTER_DISTRICT_(B)",2,"MTD","Metropolitan District"
"42","MEDWAY_(B)",2,"UTA","Unitary Authority"
"43","MIDDLESBROUGH_(B)",1,"UTA","Unitary Authority"
"44","MIDLOTHIAN",1,"UTA","Unitary Authority"
"45","NEWCASTLE_UPON_TYNE_DISTRICT_(B)",1,"MTD","Metropolitan District"
"46","NORFOLK_COUNTY",2,"DIS","District"
"47","NORTH_LINCOLNSHIRE_(B)",2,"UTA","Unitary Authority"
"48","NORTH_YORKSHIRE_COUNTY",3,"DIS","District"
"49","NOTTINGHAMSHIRE_COUNTY",1,"DIS","District"
"50","OXFORDSHIRE_COUNTY",4,"DIS","District"
"51","READING_(B)",1,"UTA","Unitary Authority"
"52","RENFREWSHIRE",1,"UTA","Unitary Authority"
"53","SHEFFIELD_DISTRICT_(B)",1,"MTD","Metropolitan District"
"54","SHROPSHIRE",1,"UTA","Unitary Authority"
"55","SIR_BENFRO_-_PEMBROKESHIRE",1,"UTA","Unitary Authority"
"56","SIR_FYNWY_-_MONMOUTHSHIRE",1,"UTA","Unitary Authority"
"57","SIR_GAERFYRDDIN_-_CARMARTHENSHIRE",3,"UTA","Unitary Authority"
"58","SOLIHULL_DISTRICT_(B)",1,"MTD","Metropolitan District"
"59","SOUTH_GLOUCESTERSHIRE",1,"UTA","Unitary Authority"
"60","SOUTHEND-ON-SEA_(B)",1,"UTA","Unitary Authority"
"61","STAFFORDSHIRE_COUNTY",1,"DIS","District"
"62","STOCKTON-ON-TEES_(B)",1,"UTA","Unitary Authority"
"63","SUNDERLAND_DISTRICT_(B)",1,"MTD","Metropolitan District"
"64","THURROCK_(B)",2,"UTA","Unitary Authority"
"65","WARRINGTON_(B)",1,"UTA","Unitary Authority"
"66","WARWICKSHIRE_COUNTY",3,"DIS","District"
"67","WEST_SUSSEX_COUNTY",4,"DIS","District"
"68","WIGAN_DISTRICT_(B)",1,"MTD","Metropolitan District"
"69","WIRRAL_DISTRICT_(B)",1,"MTD","Metropolitan District"
"70","YORK_(B)",2,"UTA","Unitary Authority"
"71",NA,8,NA,NA
