"","FILE_NAME","UK_AIR_stations","AREA_CODE","DESCRIPTIO"
"1","ABERDEEN_CITY",1,"UTA","Unitary Authority"
"2","BIRMINGHAM_DISTRICT_(B)",3,"MTD","Metropolitan District"
"3","BLACKPOOL_(B)",1,"UTA","Unitary Authority"
"4","BURY_DISTRICT_(B)",1,"MTD","Metropolitan District"
"5","CAERDYDD_-_CARDIFF",1,"UTA","Unitary Authority"
"6","CASNEWYDD_-_NEWPORT",1,"UTA","Unitary Authority"
"7","CASTELL-NEDD_PORT_TALBOT_-_NEATH_PORT_TALBOT",1,"UTA","Unitary Authority"
"8","CENTRAL_BEDFORDSHIRE",1,"UTA","Unitary Authority"
"9","CITY_OF_BRISTOL_(B)",1,"UTA","Unitary Authority"
"10","CITY_OF_EDINBURGH",1,"UTA","Unitary Authority"
"11","CITY_OF_KINGSTON_UPON_HULL_(B)",2,"UTA","Unitary Authority"
"12","CITY_OF_LEICESTER_(B)",2,"UTA","Unitary Authority"
"13","CITY_OF_NOTTINGHAM_(B)",2,"UTA","Unitary Authority"
"14","CITY_OF_PLYMOUTH_(B)",1,"UTA","Unitary Authority"
"15","CITY_OF_PORTSMOUTH_(B)",1,"UTA","Unitary Authority"
"16","CITY_OF_SOUTHAMPTON_(B)",1,"UTA","Unitary Authority"
"17","CITY_OF_STOKE-ON-TRENT_(B)",2,"UTA","Unitary Authority"
"18","CORNWALL",1,"UTA","Unitary Authority"
"19","COVENTRY_DISTRICT_(B)",1,"MTD","Metropolitan District"
"20","CUMBRIA_COUNTY",1,"DIS","District"
"21","DERBYSHIRE_COUNTY",2,"DIS","District"
"22","DEVON_COUNTY",1,"DIS","District"
"23","EAST_SUSSEX_COUNTY",1,"DIS","District"
"24","FALKIRK",1,"UTA","Unitary Authority"
"25","GLASGOW_CITY",2,"UTA","Unitary Authority"
"26","GREATER_LONDON_AUTHORITY",10,"LBO","London Borough"
"27","HAMPSHIRE_COUNTY",1,"DIS","District"
"28","LANCASHIRE_COUNTY",1,"DIS","District"
"29","LEEDS_DISTRICT_(B)",2,"MTD","Metropolitan District"
"30","LIVERPOOL_DISTRICT_(B)",1,"MTD","Metropolitan District"
"31","MANCHESTER_DISTRICT_(B)",1,"MTD","Metropolitan District"
"32","MEDWAY_(B)",2,"UTA","Unitary Authority"
"33","MIDDLESBROUGH_(B)",1,"UTA","Unitary Authority"
"34","MIDLOTHIAN",1,"UTA","Unitary Authority"
"35","NORFOLK_COUNTY",1,"DIS","District"
"36","NORTH_LINCOLNSHIRE_(B)",1,"UTA","Unitary Authority"
"37","OXFORDSHIRE_COUNTY",1,"DIS","District"
"38","READING_(B)",1,"UTA","Unitary Authority"
"39","SHEFFIELD_DISTRICT_(B)",1,"MTD","Metropolitan District"
"40","SIR_BENFRO_-_PEMBROKESHIRE",1,"UTA","Unitary Authority"
"41","SIR_FYNWY_-_MONMOUTHSHIRE",1,"UTA","Unitary Authority"
"42","STOCKTON-ON-TEES_(B)",1,"UTA","Unitary Authority"
"43","SUNDERLAND_DISTRICT_(B)",1,"MTD","Metropolitan District"
"44","THURROCK_(B)",2,"UTA","Unitary Authority"
"45","WARRINGTON_(B)",1,"UTA","Unitary Authority"
"46","WARWICKSHIRE_COUNTY",2,"DIS","District"
"47","WIGAN_DISTRICT_(B)",1,"MTD","Metropolitan District"
"48","WIRRAL_DISTRICT_(B)",1,"MTD","Metropolitan District"
"49","YORK_(B)",2,"UTA","Unitary Authority"
"50",NA,4,NA,NA
