"","day","lat","lon","MAX_air_temp","station"
"1",2016-06-22,57.202,-2.198,13.5,"DYCE"
"2",2016-06-22,57.203,-2.2,18.2333333333333,"DYCE"
"3",2016-06-22,57.2035,-2.201,15.35,"DYCE"
"7",2016-06-22,54.237,-6.503,17.5,"GLENANNE NO2"
"8",2016-06-22,55.928,-3.343,19.2,"EDINBURGH GOGARBANK"
"10",2016-06-22,51.089,-4.147,18.1,"CHIVENOR"
"12",2016-06-22,54.618,-5.872,19.5,"CITY"
"14",2016-06-22,52.454,-1.748,20,"BIRMINGHAM"
"21",2016-06-22,53.7726666666667,-3.032,18.7333333333333,"BLACKPOOL"
"22",2016-06-22,53.773,-3.0335,17.6,"BLACKPOOL"
"23",2016-06-22,53.774,-3.038,16.2,"BLACKPOOL"
"27",2016-06-22,51.521,-2.576,19.5,"FILTON"
"29",2016-06-22,53.36,-2.382,20.7,"ROSTHERNE NO 2"
"33",2016-06-22,51.504,-0.129,22.2,"ST JAMES PARK"
"35",2016-06-22,51.397,-3.343,19,"CARDIFF"
"37",2016-06-22,54.934,-2.962,20,"CARLISLE"
"39",2016-06-22,51.464,0.313,22.5,"GRAVESEND-BROADNESS"
"83",2016-06-22,53.005,-1.25,19.7,"NOTTINGHAM/WATNALL"
"89",2016-06-22,51.149,-1.569,18.2,"MIDDLE WALLOP"
"90",2016-06-22,51.1495,-1.568,20.1,"MIDDLE WALLOP"
"91",2016-06-22,51.1496666666667,-1.56766666666667,19.8666666666667,"MIDDLE WALLOP"
"92",2016-06-22,51.14975,-1.5675,16.875,"MIDDLE WALLOP"
"97",2016-06-22,52.37,-1.48,20.5,"COVENTRY"
"100",2016-06-22,55.043,-7.161,17,"LONDONDERRY EGLINTON"
"105",2016-06-22,50.89,0.318,21.5,"HERSTMONCEUX  WEST END"
"109",2016-06-22,55.872,-4.433,19,"GLASGOW"
"117",2016-06-22,55.95,-3.372,18.5,"EDINBURGH"
