"","site_name","site","day","latest_temperature","lon","lat"
"1","Aberdeen","abd","2016-06-30",13.05,"-2.094278","57.15736"
"2","Aberdeen","abd","2016-07-01",9.7,"-2.094278","57.15736"
"3","Aberdeen","abd","2016-07-02",12,"-2.094278","57.15736"
"4","Aberdeen","abd","2016-07-03",12.35,"-2.094278","57.15736"
"5","Aberdeen","abd","2016-07-04",11.2,"-2.094278","57.15736"
"6","Aberdeen","abd","2016-07-05",16.3,"-2.094278","57.15736"
"7","Aberdeen","abd",NA,12.45,"-2.094278","57.15736"
"8","Armagh Roadside","arm6","2016-06-30",12.6,"-6.654558","54.353728"
"9","Armagh Roadside","arm6","2016-07-01",10.2,"-6.654558","54.353728"
"10","Armagh Roadside","arm6","2016-07-02",13.3,"-6.654558","54.353728"
"11","Armagh Roadside","arm6","2016-07-03",14.4,"-6.654558","54.353728"
"12","Armagh Roadside","arm6","2016-07-04",12,"-6.654558","54.353728"
"13","Armagh Roadside","arm6","2016-07-05",17.9,"-6.654558","54.353728"
"14","Armagh Roadside","arm6",NA,12.5,"-6.654558","54.353728"
"15","Auchencorth Moss","acth","2016-06-30",10.05,"-3.2429","55.79216"
"16","Auchencorth Moss","acth","2016-07-01",7.95,"-3.2429","55.79216"
"17","Auchencorth Moss","acth","2016-07-02",9.5,"-3.2429","55.79216"
"18","Auchencorth Moss","acth","2016-07-03",10.45,"-3.2429","55.79216"
"19","Auchencorth Moss","acth","2016-07-04",10.6,"-3.2429","55.79216"
"20","Auchencorth Moss","acth","2016-07-05",16,"-3.2429","55.79216"
"21","Auchencorth Moss","acth",NA,10.4,"-3.2429","55.79216"
"22","Barnstaple A39","bple","2016-06-30",13.85,"-4.041924","51.074793"
"23","Barnstaple A39","bple","2016-07-01",12.15,"-4.041924","51.074793"
"24","Barnstaple A39","bple","2016-07-02",11.15,"-4.041924","51.074793"
"25","Barnstaple A39","bple","2016-07-03",11.5,"-4.041924","51.074793"
"26","Barnstaple A39","bple","2016-07-04",14,"-4.041924","51.074793"
"27","Barnstaple A39","bple","2016-07-05",23.2,"-4.041924","51.074793"
"28","Barnstaple A39","bple",NA,13.9,"-4.041924","51.074793"
"29","Belfast Centre","bel2","2016-06-30",12.75,"-5.928833","54.59965"
"30","Belfast Centre","bel2","2016-07-01",10.8,"-5.928833","54.59965"
"31","Belfast Centre","bel2","2016-07-02",12.4,"-5.928833","54.59965"
